Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
102,18.4166,0.5256,0.3844,0.7316,0.8071,0.8393,0.8445,0.8500
103,18.3926,0.5280,0.3874,0.7326,0.8073,0.8393,0.8437,0.8484
104,18.3684,0.5269,0.3864,0.7314,0.8069,0.8391,0.8439,0.8492
105,18.3442,0.5258,0.3854,0.7289,0.8067,0.8395,0.8433,0.8488
106,18.3199,0.5271,0.3866,0.7308,0.8075,0.8395,0.8435,0.8498
107,18.2957,0.5269,0.3860,0.7296,0.8065,0.8391,0.8437,0.8496
108,18.2715,0.5267,0.3856,0.7312,0.8065,0.8391,0.8439,0.8492
109,18.2475,0.5275,0.3874,0.7304,0.8067,0.8397,0.8443,0.8496
110,18.2235,0.5262,0.3852,0.7294,0.8071,0.8389,0.8439,0.8498
111,18.1998,0.5279,0.3872,0.7322,0.8065,0.8385,0.8433,0.8494
112,18.1763,0.5273,0.3866,0.7316,0.8071,0.8385,0.8445,0.8502
113,18.1531,0.5276,0.3872,0.7314,0.8073,0.8397,0.8449,0.8504
114,18.1303,0.5282,0.3891,0.7312,0.8067,0.8389,0.8439,0.8496
115,18.1078,0.5276,0.3868,0.7312,0.8073,0.8393,0.8439,0.8496
116,18.0858,0.5274,0.3866,0.7308,0.8069,0.8397,0.8445,0.8500
117,18.0644,0.5270,0.3868,0.7308,0.8063,0.8393,0.8441,0.8498
118,18.0434,0.5273,0.3866,0.7302,0.8065,0.8387,0.8435,0.8494
119,18.0231,0.5278,0.3872,0.7308,0.8061,0.8389,0.8441,0.8502
120,18.0033,0.5282,0.3879,0.7318,0.8061,0.8389,0.8439,0.8502
121,17.9842,0.5287,0.3879,0.7320,0.8081,0.8393,0.8441,0.8502
122,17.9658,0.5286,0.3879,0.7306,0.8073,0.8385,0.8435,0.8502
123,17.9481,0.5289,0.3897,0.7306,0.8067,0.8391,0.8451,0.8498
124,17.9311,0.5293,0.3897,0.7304,0.8063,0.8385,0.8443,0.8496
125,17.9149,0.5297,0.3899,0.7304,0.8067,0.8397,0.8451,0.8506
126,17.8994,0.5291,0.3889,0.7312,0.8073,0.8387,0.8445,0.8492
127,17.8846,0.5283,0.3870,0.7308,0.8067,0.8389,0.8455,0.8490
128,17.8706,0.5283,0.3874,0.7294,0.8059,0.8395,0.8460,0.8496
129,17.8573,0.5287,0.3877,0.7320,0.8063,0.8393,0.8453,0.8490
130,17.8447,0.5302,0.3893,0.7332,0.8063,0.8393,0.8455,0.8492
131,17.8328,0.5286,0.3872,0.7324,0.8061,0.8393,0.8455,0.8492
132,17.8216,0.5284,0.3870,0.7320,0.8069,0.8395,0.8451,0.8492
133,17.8110,0.5288,0.3874,0.7310,0.8061,0.8401,0.8437,0.8488
134,17.8010,0.5287,0.3868,0.7326,0.8069,0.8399,0.8435,0.8490
135,17.7916,0.5299,0.3889,0.7312,0.8061,0.8405,0.8441,0.8494
136,17.7827,0.5291,0.3872,0.7328,0.8065,0.8401,0.8443,0.8494
137,17.7744,0.5283,0.3862,0.7338,0.8055,0.8393,0.8431,0.8490
138,17.7665,0.5286,0.3866,0.7336,0.8063,0.8405,0.8435,0.8492
139,17.7591,0.5296,0.3881,0.7322,0.8063,0.8401,0.8433,0.8492
140,17.7521,0.5301,0.3893,0.7326,0.8061,0.8401,0.8431,0.8496
141,17.7455,0.5292,0.3870,0.7316,0.8059,0.8403,0.8431,0.8492
142,17.7392,0.5293,0.3877,0.7312,0.8055,0.8409,0.8433,0.8494
143,17.7332,0.5288,0.3875,0.7332,0.8063,0.8405,0.8435,0.8502
144,17.7275,0.5309,0.3901,0.7330,0.8065,0.8403,0.8431,0.8498
145,17.7221,0.5298,0.3899,0.7310,0.8073,0.8399,0.8433,0.8496
146,17.7169,0.5302,0.3901,0.7318,0.8069,0.8401,0.8425,0.8492
147,17.7119,0.5295,0.3879,0.7322,0.8073,0.8397,0.8419,0.8478
148,17.7071,0.5288,0.3879,0.7304,0.8067,0.8403,0.8427,0.8496
149,17.7024,0.5294,0.3874,0.7336,0.8065,0.8405,0.8431,0.8496
150,17.6979,0.5285,0.3877,0.7306,0.8063,0.8399,0.8423,0.8490
151,17.6935,0.5298,0.3887,0.7316,0.8061,0.8405,0.8433,0.8498
152,17.6892,0.5297,0.3895,0.7320,0.8061,0.8401,0.8433,0.8490
153,17.6850,0.5304,0.3893,0.7336,0.8059,0.8395,0.8427,0.8492
154,17.6808,0.5292,0.3889,0.7320,0.8059,0.8399,0.8439,0.8502
155,17.6767,0.5296,0.3897,0.7312,0.8059,0.8401,0.8439,0.8494
156,17.6727,0.5299,0.3899,0.7306,0.8055,0.8405,0.8441,0.8492
157,17.6687,0.5300,0.3905,0.7314,0.8049,0.8397,0.8441,0.8496
158,17.6648,0.5298,0.3905,0.7296,0.8059,0.8415,0.8449,0.8504
159,17.6608,0.5282,0.3887,0.7289,0.8057,0.8419,0.8451,0.8494
160,17.6570,0.5281,0.3885,0.7283,0.8047,0.8411,0.8435,0.8490
161,17.6531,0.5272,0.3866,0.7281,0.8053,0.8415,0.8445,0.8490
162,17.6493,0.5299,0.3899,0.7298,0.8047,0.8419,0.8445,0.8488
163,17.6455,0.5285,0.3883,0.7308,0.8059,0.8421,0.8455,0.8496
164,17.6418,0.5273,0.3875,0.7271,0.8051,0.8419,0.8443,0.8490
165,17.6380,0.5282,0.3885,0.7289,0.8055,0.8427,0.8451,0.8494
166,17.6343,0.5280,0.3872,0.7306,0.8051,0.8423,0.8449,0.8496
167,17.6306,0.5304,0.3903,0.7296,0.8059,0.8423,0.8453,0.8498
168,17.6269,0.5271,0.3860,0.7294,0.8061,0.8407,0.8443,0.8486
169,17.6233,0.5286,0.3881,0.7310,0.8051,0.8417,0.8457,0.8510
170,17.6197,0.5283,0.3872,0.7320,0.8045,0.8423,0.8447,0.8498
171,17.6161,0.5303,0.3907,0.7324,0.8061,0.8415,0.8453,0.8506
172,17.6125,0.5296,0.3891,0.7318,0.8063,0.8419,0.8458,0.8504
173,17.6089,0.5278,0.3872,0.7298,0.8055,0.8415,0.8453,0.8506
174,17.6054,0.5299,0.3905,0.7296,0.8055,0.8417,0.8455,0.8502
175,17.6018,0.5296,0.3905,0.7292,0.8055,0.8417,0.8458,0.8504
176,17.5984,0.5293,0.3901,0.7302,0.8063,0.8415,0.8458,0.8502
177,17.5949,0.5293,0.3889,0.7322,0.8063,0.8411,0.8453,0.8504
178,17.5914,0.5282,0.3875,0.7306,0.8067,0.8403,0.8457,0.8500
179,17.5880,0.5295,0.3891,0.7302,0.8067,0.8411,0.8462,0.8506
180,17.5846,0.5308,0.3911,0.7310,0.8071,0.8411,0.8464,0.8506
181,17.5812,0.5294,0.3897,0.7310,0.8073,0.8413,0.8466,0.8510
182,17.5778,0.5297,0.3905,0.7308,0.8071,0.8417,0.8470,0.8514
183,17.5744,0.5312,0.3921,0.7306,0.8071,0.8417,0.8468,0.8512
184,17.5711,0.5306,0.3913,0.7314,0.8075,0.8419,0.8464,0.8502
185,17.5677,0.5307,0.3919,0.7308,0.8073,0.8421,0.8474,0.8516
186,17.5644,0.5297,0.3901,0.7308,0.8073,0.8415,0.8464,0.8510
187,17.5611,0.5300,0.3913,0.7306,0.8067,0.8407,0.8466,0.8504
188,17.5579,0.5289,0.3887,0.7312,0.8067,0.8409,0.8472,0.8508
189,17.5546,0.5308,0.3919,0.7310,0.8071,0.8413,0.8462,0.8512
190,17.5514,0.5298,0.3907,0.7302,0.8069,0.8415,0.8468,0.8524
191,17.5482,0.5303,0.3911,0.7312,0.8069,0.8411,0.8464,0.8514
192,17.5450,0.5321,0.3933,0.7316,0.8073,0.8415,0.8468,0.8516
193,17.5418,0.5317,0.3921,0.7320,0.8073,0.8417,0.8464,0.8514
194,17.5386,0.5307,0.3909,0.7320,0.8067,0.8421,0.8468,0.8510
195,17.5354,0.5313,0.3921,0.7330,0.8069,0.8423,0.8472,0.8518
196,17.5323,0.5324,0.3937,0.7316,0.8067,0.8423,0.8466,0.8512
197,17.5292,0.5303,0.3905,0.7326,0.8065,0.8425,0.8472,0.8524
198,17.5261,0.5310,0.3919,0.7322,0.8071,0.8427,0.8478,0.8518
199,17.5230,0.5290,0.3885,0.7340,0.8067,0.8419,0.8460,0.8510
200,17.5199,0.5324,0.3937,0.7334,0.8065,0.8427,0.8472,0.8526
201,17.5169,0.5305,0.3917,0.7304,0.8067,0.8427,0.8476,0.8522
202,17.5139,0.5324,0.3937,0.7322,0.8069,0.8427,0.8472,0.8526
203,17.5108,0.5309,0.3919,0.7322,0.8069,0.8429,0.8480,0.8520
204,17.5078,0.5321,0.3937,0.7312,0.8069,0.8425,0.8480,0.8516
205,17.5049,0.5321,0.3939,0.7310,0.8073,0.8429,0.8470,0.8522
206,17.5019,0.5314,0.3925,0.7320,0.8067,0.8429,0.8472,0.8508
207,17.4989,0.5325,0.3941,0.7306,0.8059,0.8421,0.8470,0.8512
208,17.4960,0.5323,0.3933,0.7330,0.8073,0.8421,0.8470,0.8512
209,17.4930,0.5305,0.3911,0.7320,0.8065,0.8421,0.8476,0.8516
210,17.4901,0.5321,0.3933,0.7318,0.8065,0.8421,0.8470,0.8514
211,17.4872,0.5309,0.3919,0.7316,0.8063,0.8419,0.8480,0.8516
212,17.4843,0.5313,0.3921,0.7334,0.8061,0.8423,0.8484,0.8528
213,17.4815,0.5313,0.3925,0.7328,0.8065,0.8425,0.8476,0.8524
214,17.4786,0.5305,0.3901,0.7326,0.8063,0.8423,0.8490,0.8530
215,17.4758,0.5317,0.3933,0.7324,0.8063,0.8427,0.8478,0.8518
216,17.4729,0.5316,0.3925,0.7320,0.8065,0.8421,0.8478,0.8516
217,17.4701,0.5323,0.3933,0.7334,0.8071,0.8427,0.8486,0.8524
218,17.4673,0.5321,0.3935,0.7320,0.8067,0.8427,0.8474,0.8516
219,17.4645,0.5317,0.3927,0.7334,0.8065,0.8427,0.8486,0.8516
220,17.4617,0.5320,0.3937,0.7336,0.8069,0.8425,0.8482,0.8518
221,17.4590,0.5307,0.3911,0.7330,0.8075,0.8439,0.8494,0.8526
222,17.4562,0.5323,0.3933,0.7336,0.8077,0.8447,0.8500,0.8532
223,17.4535,0.5318,0.3921,0.7342,0.8073,0.8429,0.8488,0.8524
224,17.4508,0.5323,0.3935,0.7328,0.8079,0.8439,0.8480,0.8522
225,17.4481,0.5328,0.3941,0.7346,0.8079,0.8447,0.8490,0.8524
226,17.4454,0.5320,0.3933,0.7316,0.8079,0.8433,0.8476,0.8522
227,17.4427,0.5318,0.3929,0.7320,0.8077,0.8441,0.8476,0.8520
228,17.4400,0.5330,0.3941,0.7336,0.8079,0.8460,0.8494,0.8534
229,17.4373,0.5309,0.3913,0.7332,0.8079,0.8447,0.8476,0.8530
230,17.4347,0.5316,0.3927,0.7324,0.8075,0.8441,0.8478,0.8530
231,17.4320,0.5340,0.3962,0.7330,0.8079,0.8457,0.8492,0.8524
232,17.4294,0.5333,0.3949,0.7332,0.8083,0.8451,0.8490,0.8538
233,17.4268,0.5326,0.3939,0.7332,0.8079,0.8449,0.8484,0.8530
234,17.4242,0.5325,0.3927,0.7330,0.8083,0.8453,0.8494,0.8532
235,17.4216,0.5317,0.3927,0.7318,0.8085,0.8451,0.8478,0.8526
