Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
201,17.6769,0.2467,0.1441,0.3453,0.4603,0.6302,0.6950,0.7531
202,17.6703,0.2467,0.1464,0.3397,0.4570,0.6257,0.6927,0.7520
203,17.6638,0.2458,0.1453,0.3363,0.4570,0.6201,0.6905,0.7497
204,17.6574,0.2423,0.1408,0.3374,0.4559,0.6190,0.6849,0.7486
205,17.6511,0.2396,0.1385,0.3318,0.4525,0.6145,0.6760,0.7464
206,17.6449,0.2416,0.1408,0.3363,0.4492,0.6067,0.6760,0.7453
207,17.6388,0.2399,0.1385,0.3296,0.4469,0.6067,0.6715,0.7408
208,17.6327,0.2375,0.1352,0.3341,0.4492,0.6022,0.6704,0.7408
209,17.6268,0.2385,0.1374,0.3341,0.4458,0.6022,0.6693,0.7363
210,17.6210,0.2377,0.1385,0.3285,0.4425,0.6000,0.6659,0.7341
211,17.6154,0.2380,0.1385,0.3285,0.4413,0.6022,0.6637,0.7307
212,17.6099,0.2340,0.1341,0.3240,0.4380,0.5966,0.6626,0.7296
213,17.6045,0.2327,0.1330,0.3240,0.4413,0.5944,0.6615,0.7263
214,17.5990,0.2348,0.1363,0.3229,0.4369,0.5911,0.6570,0.7240
215,17.5937,0.2296,0.1307,0.3240,0.4346,0.5899,0.6570,0.7251
216,17.5885,0.2295,0.1307,0.3151,0.4324,0.5877,0.6525,0.7229
217,17.5832,0.2302,0.1318,0.3162,0.4302,0.5832,0.6514,0.7218
218,17.5783,0.2287,0.1307,0.3184,0.4279,0.5821,0.6514,0.7173
219,17.5730,0.2257,0.1263,0.3173,0.4257,0.5810,0.6480,0.7128
220,17.5681,0.2249,0.1240,0.3140,0.4223,0.5765,0.6480,0.7095
221,17.5631,0.2206,0.1184,0.3173,0.4235,0.5743,0.6436,0.7084
222,17.5583,0.2200,0.1184,0.3140,0.4212,0.5743,0.6436,0.7073
223,17.5535,0.2198,0.1207,0.3128,0.4212,0.5743,0.6402,0.7061
